article_id,article_url,title,datetime,text,author_id,author,status,postanon
212,Replaceable_render_engines_for_Formtastic,"Formtastic Feedback?",1269141729,"This looks pretty cool and addresses my frustration with Formtastic.  What feedback have you gotten from the Formtastic maintainers/community?",2,Jeff,2,0
212,Replaceable_render_engines_for_Formtastic,"Replaceable render engines for Formtastic",1269181431,"No feedback yet, and I'd love to see more discussion. But I know they're focusing on getting to 1.0, so I understand if the refactoring required to implement this is outside the scope of the current project. I do plan to continue to merge any updates on Formtastic master to my branch, and ensure we pass all the master rspecs.",3,linoj,2,0
212,Replaceable_render_engines_for_Formtastic,"Replaceable render engines for Formtastic",1269229943,"Okay, this is awesome. No idea when we'll merge this in, but this is definitely where we want to go.  Great work, Justin.",2,"Justin French",2,0
212,Replaceable_render_engines_for_Formtastic,"new :structure option",1270050498,"NOTE: you can now do form.inputs :structure => :inline instead of the :partial option on inputs and input, and it'll automatically prepend 'inline_' to the partial names it looks for ('_inline_fields', '_inline_input' etc).",3,linoj,2,0
212,Replaceable_render_engines_for_Formtastic,"Replaceable render engines for Formtastic",1277339309,"You sir, are a genius. Love your work! Thank you, thank you, thank you.",2,Dom,2,0
210,Gridify_-_A_Ruby_wrapper_and_Rails_plugin_for_jqGrid,"Gridify - A Ruby wrapper and Rails plugin for jqGrid",1263899765,"hello 

can i use the will_paginate plugin ? ",2,guest,2,0
210,Gridify_-_A_Ruby_wrapper_and_Rails_plugin_for_jqGrid,"Gridify - A Ruby wrapper and Rails plugin for jqGrid",1263916259,"<p>hi, if you want to use will_paginate then dont use the #find_for_grid method. Instead you'll need to inerpret the params passed by jqgrid in your controller. </p>
<p>But I'm not sure why you'd want to use will_paginate. find_for_grid does pagination, and with jqgrid you dont use the will_paginate view helpers.</p>",3,linoj,2,0
210,Gridify_-_A_Ruby_wrapper_and_Rails_plugin_for_jqGrid,"Gridify - A Ruby wrapper and Rails plugin for jqGrid",1269933875,"Thanks for the awesome  work.

Is there any way to use inline edit with this plugin?",2,Satish,2,0
210,Gridify_-_A_Ruby_wrapper_and_Rails_plugin_for_jqGrid,"Gridify - A Ruby wrapper and Rails plugin for jqGrid",1269960265,"@satish I havent added inline edit to the ruby wrapper so you'd just call it directly as described in the jqgrid docs. ",3,linoj,2,0
210,Gridify_-_A_Ruby_wrapper_and_Rails_plugin_for_jqGrid,"Gridify - A Ruby wrapper and Rails plugin for jqGrid",1273561993,"Hi Linoj,
I have been playing with the plugin with the example 2. However I get an error with the last statement in the method index of the controller
*****begin
 @grid = Note.grid :mylist
***end
error****
wrong number of arguments (1 for 0)
end*****
I put a comma before :mylist. the error didnot show anymore but the grid is not showing as well
Thanks for your help
",2,omar,2,0
